从起点0到其他各顶点的最短路径为：
the shortest path of vertice 1 is 0|1.The shortest path length is 1
the shortest path of vertice 2 is 0|2.The shortest path length is 2
the shortest path of vertice 3 is 0|3.The shortest path length is 1
the shortest path of vertice 4 is 0|4.The shortest path length is 100
the shortest path of vertice 5 is 0|5.The shortest path length is 100
the shortest path of vertice 6 is 0|6.The shortest path length is 100
the shortest path of vertice 7 is 0|7.The shortest path length is 100
the shortest path of vertice 8 is 0|8.The shortest path length is 100
the shortest path of vertice 9 is 0|9.The shortest path length is 100
the shortest path of vertice 10 is 0|10.The shortest path length is 100
the shortest path of vertice 11 is 0|11.The shortest path length is 100
the shortest path of vertice 12 is 0|12.The shortest path length is 100
the shortest path of vertice 13 is 0|13.The shortest path length is 100
the shortest path of vertice 14 is 0|14.The shortest path length is 100
the shortest path of vertice 15 is 0|15.The shortest path length is 100
the shortest path of vertice 16 is 0|16.The shortest path length is 100
the shortest path of vertice 17 is 0|17.The shortest path length is 100
the shortest path of vertice 18 is 0|18.The shortest path length is 100
the shortest path of vertice 19 is 0|19.The shortest path length is 100
the shortest path of vertice 20 is 0|20.The shortest path length is 100
the shortest path of vertice 21 is 0|21.The shortest path length is 100
the shortest path of vertice 22 is 0|22.The shortest path length is 100
the shortest path of vertice 23 is 0|23.The shortest path length is 100
the shortest path of vertice 24 is 0|24.The shortest path length is 100
the shortest path of vertice 25 is 0|25.The shortest path length is 100
the shortest path of vertice 26 is 0|26.The shortest path length is 100
the shortest path of vertice 27 is 0|27.The shortest path length is 100
the shortest path of vertice 28 is 0|28.The shortest path length is 100
the shortest path of vertice 29 is 0|29.The shortest path length is 100
data_read : 0
path_find_total_time : 0.001
